title,company,location,salary
لحام نصف أوتوماتيك (1G),N/A,-مدينة العبور، القليوبية,الراتب غير معلن
لحام كهرباء و co2,N/A,-العامرية، الاسكندرية,7000 - 9000 جنيه مصري
مندوب مبيعات B2B-Software,N/A,-الجيزة، الجيزة,الراتب غير معلن
مسئول مبيعات خارجية Outdoor Sales Building...,N/A,-القطامية، القاهرة,الراتب غير معلن
فني لحام نصف اوتوماتيك CO2,N/A,-مدينة بدر، القاهرة,الراتب غير معلن
فنى لحام co2,N/A,-السادس من اكتوبر، الجيزة,الراتب غير معلن
فني لحام CO2,N/A,-بلبيس، الشرقية,الراتب غير معلن
لحامين co2,N/A,-مدينة العبور، القليوبية,الراتب غير معلن
فني لحام co2,N/A,-مدينة العبور، القليوبية,الراتب غير معلن
لحام co2,N/A,-مدينة بدر، القاهرة,الراتب غير معلن
Sales Specialist (B2B) - أخصائي مبيعات,N/A,-العاشر من رمضان، الشرقية,الراتب غير معلن
فني لحام ارجون و CO2,N/A,-مدينة العبور، القاهرة,الراتب غير معلن
محاسب (خبرة 7:3 سنوات),N/A,-شيراتون، القاهرة,الراتب غير معلن
امين خزينة (شفت مسائى من 3 مساءا),N/A,-المعادى، القاهرة,الراتب غير معلن
مسؤول توظيف - HR Recruiter (تدريب 3 اشهر),N/A,-التجمع الاول، التجمع الخامس، شبرا، شيراتون، مدينة العبور، مدينة نصر، مصر الجديدة، القاهرة,الراتب غير معلن
مهندس تصميم داخلي 3d,N/A,-مدينة نصر، القاهرة,الراتب غير معلن
مهندس تصميم داخلي 3d,N/A,-مدينة نصر، القاهرة,الراتب غير معلن
عامل نظافة (ذكور),N/A,-دمياط، دمياط,الراتب غير معلن
مدير مصنع ملابس رجالي,N/A,-جسر السويس، القاهرة,الراتب غير معلن
